GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
26,2000,Michigan,USA,9938444.0,10.53,26.22,546.0,44667.0,115600.0,24.4,78.55,14.11,3.26,0.54,1.76,0.02,1.64,0.12,118916.0,11748.0,6616.0,5.56,9.88,0,0,0
26,2001,Michigan,USA,9938444.0,10.53,26.22,546.0,44667.0,115600.0,24.4,78.55,14.11,3.26,0.54,1.76,0.02,1.64,0.12,431364.0,55685.0,14722.0,3.41,12.91,0,0,0
26,2002,Michigan,USA,9938444.0,10.53,26.22,546.0,44667.0,115600.0,24.4,78.55,14.11,3.26,0.54,1.76,0.02,1.64,0.12,908863.0,101806.0,46083.0,5.07,11.2,0,0,0
26,2003,Michigan,USA,9938444.0,10.53,26.22,546.0,44667.0,115600.0,24.4,78.55,14.11,3.26,0.54,1.76,0.02,1.64,0.12,984718.0,104976.0,52216.0,5.3,10.66,0,0,0
26,2004,Michigan,USA,9938444.0,10.53,26.22,546.0,44667.0,115600.0,24.4,78.55,14.11,3.26,0.54,1.76,0.02,1.64,0.12,992927.0,115838.0,59936.0,6.04,11.67,0,0,0
26,2005,Michigan,USA,10039208.0,10.26,25.39,709.0,48700.0,147500.0,31.9,77.53,13.88,4.05,0.46,2.33,0.02,1.58,0.14,1025089.0,118469.0,57645.0,5.62,11.56,0,0,0
26,2006,Michigan,USA,10039208.0,10.26,25.39,709.0,48700.0,147500.0,31.9,77.53,13.88,4.05,0.46,2.33,0.02,1.58,0.14,1029583.0,128126.0,65078.0,6.32,12.44,0,0,0
26,2007,Michigan,USA,10039208.0,10.26,25.39,709.0,48700.0,147500.0,31.9,77.53,13.88,4.05,0.46,2.33,0.02,1.58,0.14,1024019.0,137445.0,72849.0,7.11,13.42,0,0,0
26,2008,Michigan,USA,10039208.0,10.26,25.39,709.0,48700.0,147500.0,31.9,77.53,13.88,4.05,0.46,2.33,0.02,1.58,0.14,1032207.0,139810.0,74861.0,7.25,13.54,0,0,0
26,2009,Michigan,USA,10039208.0,10.26,25.39,709.0,48700.0,147500.0,31.9,77.53,13.88,4.05,0.46,2.33,0.02,1.58,0.14,1047559.0,134360.0,69922.0,6.67,12.83,0,0,0
26,2010,Michigan,USA,9883640.0,11.67,27.87,755.0,48471.0,128600.0,32.9,76.59,14.0,4.41,0.55,2.39,0.02,1.93,0.1,1055844.0,147721.0,69292.0,6.56,13.99,0,0,0
26,2011,Michigan,USA,9900571.0,11.93,28.96,783.0,49576.0,122400.0,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1073810.0,158653.0,74372.0,6.93,14.77,0,0,0
26,2012,Michigan,USA,9900571.0,11.93,28.96,783.0,49576.0,122400.0,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1082933.0,157607.0,72512.0,6.7,14.55,0,0,0
26,2013,Michigan,USA,9900571.0,11.93,28.96,783.0,49576.0,122400.0,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1076183.0,163183.0,67660.0,6.29,15.16,0,0,0
26,2014,Michigan,USA,9900571.0,11.93,28.96,783.0,49576.0,122400.0,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1066682.0,155718.0,58358.0,5.47,14.6,0,0,0
26,2015,Michigan,USA,9900571.0,11.93,28.96,783.0,49576.0,122400.0,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1018571.0,139706.0,41632.0,4.09,13.72,0,0,0
26,2016,Michigan,USA,9900571.0,11.93,28.96,783.0,49576.0,122400.0,31.7,75.89,13.8,4.72,0.48,2.7,0.02,2.27,0.12,1037704.0,138169.0,34016.0,3.28,13.31,0,0,0
