GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
28,2000,Mississippi,USA,2844658.0,19.93,27.66,439.0,31330.0,71400.0,25.0,60.74,36.15,1.39,0.39,0.65,0.02,0.61,0.05,183004.0,7470.0,5683.0,3.11,4.08,0,0,0
28,2001,Mississippi,USA,2844658.0,19.93,27.66,439.0,31330.0,71400.0,25.0,60.74,36.15,1.39,0.39,0.65,0.02,0.61,0.05,204742.0,10520.0,7198.0,3.52,5.14,0,0,0
28,2002,Mississippi,USA,2844658.0,19.93,27.66,439.0,31330.0,71400.0,25.0,60.74,36.15,1.39,0.39,0.65,0.02,0.61,0.05,190752.0,9592.0,6963.0,3.65,5.03,0,0,0
28,2003,Mississippi,USA,2844658.0,19.93,27.66,439.0,31330.0,71400.0,25.0,60.74,36.15,1.39,0.39,0.65,0.02,0.61,0.05,205854.0,10719.0,7674.0,3.73,5.21,0,0,0
28,2004,Mississippi,USA,2844658.0,19.93,27.66,439.0,31330.0,71400.0,25.0,60.74,36.15,1.39,0.39,0.65,0.02,0.61,0.05,219115.0,12126.0,8860.0,4.04,5.53,0,0,0
28,2005,Mississippi,USA,2922240.0,16.97,29.5,622.0,36796.0,91400.0,31.3,58.83,36.9,2.1,0.4,0.84,0.03,0.84,0.06,250390.0,12155.0,9450.0,3.77,4.85,0,0,0
28,2006,Mississippi,USA,2922240.0,16.97,29.5,622.0,36796.0,91400.0,31.3,58.83,36.9,2.1,0.4,0.84,0.03,0.84,0.06,253768.0,13738.0,10344.0,4.08,5.41,0,0,0
28,2007,Mississippi,USA,2922240.0,16.97,29.5,622.0,36796.0,91400.0,31.3,58.83,36.9,2.1,0.4,0.84,0.03,0.84,0.06,265157.0,15759.0,11558.0,4.36,5.94,0,0,0
28,2008,Mississippi,USA,2922240.0,16.97,29.5,622.0,36796.0,91400.0,31.3,58.83,36.9,2.1,0.4,0.84,0.03,0.84,0.06,305615.0,17719.0,10820.0,3.54,5.8,0,0,0
28,2009,Mississippi,USA,2922240.0,16.97,29.5,622.0,36796.0,91400.0,31.3,58.83,36.9,2.1,0.4,0.84,0.03,0.84,0.06,310283.0,20763.0,12207.0,3.93,6.69,0,0,0
28,2010,Mississippi,USA,2967297.0,17.54,30.36,688.0,38882.0,100200.0,32.3,58.04,36.85,2.75,0.47,0.86,0.03,0.94,0.06,304923.0,20800.0,12410.0,4.07,6.82,0,0,0
28,2011,Mississippi,USA,2988081.0,17.56,31.61,717.0,39665.0,103100.0,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,307474.0,24925.0,13564.0,4.41,8.11,0,0,0
28,2012,Mississippi,USA,2988081.0,17.56,31.61,717.0,39665.0,103100.0,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,312540.0,25640.0,13499.0,4.32,8.2,0,0,0
28,2013,Mississippi,USA,2988081.0,17.56,31.61,717.0,39665.0,103100.0,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,317607.0,24408.0,13526.0,4.26,7.68,0,0,0
28,2014,Mississippi,USA,2988081.0,17.56,31.61,717.0,39665.0,103100.0,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,324009.0,26638.0,14116.0,4.36,8.22,0,0,0
28,2015,Mississippi,USA,2988081.0,17.56,31.61,717.0,39665.0,103100.0,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,310357.0,25652.0,13819.0,4.45,8.27,0,0,0
28,2016,Mississippi,USA,2988081.0,17.56,31.61,717.0,39665.0,103100.0,31.7,57.38,37.23,2.9,0.4,0.96,0.01,1.03,0.08,315015.0,21324.0,12479.0,3.96,6.77,0,0,0
