GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
36,2000,New York,USA,18976457.0,14.59,47.01,672.0,43393.0,148700.0,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2396624.0,334158.0,48046.0,2.0,13.94,1,0,0
36,2001,New York,USA,18976457.0,14.59,47.01,672.0,43393.0,148700.0,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2401640.0,325925.0,45465.0,1.89,13.57,1,0,0
36,2002,New York,USA,18976457.0,14.59,47.01,672.0,43393.0,148700.0,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2406663.0,376171.0,45359.0,1.88,15.63,1,0,0
36,2003,New York,USA,18976457.0,14.59,47.01,672.0,43393.0,148700.0,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2381569.0,354419.0,44505.0,1.87,14.88,1,0,0
36,2004,New York,USA,18976457.0,14.59,47.01,672.0,43393.0,148700.0,26.8,61.98,14.82,15.11,0.28,5.46,0.03,1.93,0.4,2394566.0,304644.0,44119.0,1.84,12.72,1,0,0
36,2005,New York,USA,19423896.0,10.48,44.27,945.0,55233.0,300600.0,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,2426736.0,303491.0,48351.0,1.99,12.51,1,0,0
36,2006,New York,USA,19423896.0,10.48,44.27,945.0,55233.0,300600.0,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,2451090.0,296357.0,66080.0,2.7,12.09,1,0,0
36,2007,New York,USA,19423896.0,10.48,44.27,945.0,55233.0,300600.0,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,925699.0,50327.0,13866.0,1.5,5.44,1,0,0
36,2008,New York,USA,19423896.0,10.48,44.27,945.0,55233.0,300600.0,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,929388.0,51281.0,19162.0,2.06,5.52,1,0,0
36,2009,New York,USA,19423896.0,10.48,44.27,945.0,55233.0,300600.0,30.5,60.34,14.62,16.33,0.24,6.74,0.02,1.18,0.52,933079.0,52340.0,13576.0,1.45,5.61,1,0,0
36,2010,New York,USA,19378102.0,11.38,46.73,1061.0,57683.0,295300.0,31.6,58.34,14.37,17.63,0.28,7.26,0.03,1.68,0.42,948335.0,54068.0,12358.0,1.3,5.7,1,0,0
36,2011,New York,USA,19673174.0,11.98,46.37,1132.0,59269.0,283400.0,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1052214.0,46083.0,1405.0,0.13,4.38,1,0,0
36,2012,New York,USA,19673174.0,11.98,46.37,1132.0,59269.0,283400.0,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1069348.0,37144.0,6171.0,0.58,3.47,1,0,0
36,2013,New York,USA,19673174.0,11.98,46.37,1132.0,59269.0,283400.0,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1216345.0,36428.0,5892.0,0.48,2.99,1,0,0
36,2014,New York,USA,19673174.0,11.98,46.37,1132.0,59269.0,283400.0,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1278217.0,39272.0,10161.0,0.79,3.07,1,0,0
36,2015,New York,USA,19673174.0,11.98,46.37,1132.0,59269.0,283400.0,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1290249.0,36660.0,9145.0,0.71,2.84,1,0,0
36,2016,New York,USA,19673174.0,11.98,46.37,1132.0,59269.0,283400.0,32.2,56.78,14.39,18.4,0.24,7.92,0.02,1.73,0.51,1770577.0,126657.0,38055.0,2.15,7.15,1,0,0
