GEOID,year,name,parent-location,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
53,2000,Washington,USA,5894121.0,10.62,35.41,663.0,45776.0,168300.0,26.5,78.93,3.13,7.49,1.45,5.42,0.39,2.98,0.2,685601.0,14658.0,9873.0,1.44,2.14,1,0,0
53,2001,Washington,USA,5894121.0,10.62,35.41,663.0,45776.0,168300.0,26.5,78.93,3.13,7.49,1.45,5.42,0.39,2.98,0.2,753491.0,15555.0,9102.0,1.21,2.06,1,0,0
53,2002,Washington,USA,5894121.0,10.62,35.41,663.0,45776.0,168300.0,26.5,78.93,3.13,7.49,1.45,5.42,0.39,2.98,0.2,766526.0,15438.0,8118.0,1.06,2.01,1,0,0
53,2003,Washington,USA,5894121.0,10.62,35.41,663.0,45776.0,168300.0,26.5,78.93,3.13,7.49,1.45,5.42,0.39,2.98,0.2,713977.0,15414.0,9350.0,1.31,2.16,1,0,0
53,2004,Washington,USA,5894121.0,10.62,35.41,663.0,45776.0,168300.0,26.5,78.93,3.13,7.49,1.45,5.42,0.39,2.98,0.2,761217.0,17039.0,10541.0,1.38,2.24,1,0,0
53,2005,Washington,USA,6465755.0,7.91,34.66,853.0,56384.0,277600.0,29.3,75.52,3.3,9.65,1.24,6.5,0.43,3.15,0.21,772183.0,17358.0,11226.0,1.45,2.25,1,0,0
53,2006,Washington,USA,6465755.0,7.91,34.66,853.0,56384.0,277600.0,29.3,75.52,3.3,9.65,1.24,6.5,0.43,3.15,0.21,765375.0,16244.0,9763.0,1.28,2.12,1,0,0
53,2007,Washington,USA,6465755.0,7.91,34.66,853.0,56384.0,277600.0,29.3,75.52,3.3,9.65,1.24,6.5,0.43,3.15,0.21,768107.0,14432.0,8411.0,1.1,1.88,1,0,0
53,2008,Washington,USA,6465755.0,7.91,34.66,853.0,56384.0,277600.0,29.3,75.52,3.3,9.65,1.24,6.5,0.43,3.15,0.21,683040.0,13923.0,6333.0,0.93,2.04,1,0,0
53,2009,Washington,USA,6465755.0,7.91,34.66,853.0,56384.0,277600.0,29.3,75.52,3.3,9.65,1.24,6.5,0.43,3.15,0.21,701242.0,12182.0,6122.0,0.87,1.74,1,0,0
53,2010,Washington,USA,6724540.0,8.71,36.11,951.0,59374.0,272900.0,30.0,72.52,3.41,11.24,1.32,7.07,0.58,3.68,0.18,696535.0,12182.0,6522.0,0.94,1.75,1,0,0
53,2011,Washington,USA,6985464.0,8.85,37.5,1014.0,61062.0,259500.0,30.0,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,694499.0,12774.0,6364.0,0.92,1.84,1,0,0
53,2012,Washington,USA,6985464.0,8.85,37.5,1014.0,61062.0,259500.0,30.0,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,705667.0,11731.0,6667.0,0.94,1.66,1,0,0
53,2013,Washington,USA,6985464.0,8.85,37.5,1014.0,61062.0,259500.0,30.0,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,716836.0,12226.0,6659.0,0.93,1.71,1,0,0
53,2014,Washington,USA,6985464.0,8.85,37.5,1014.0,61062.0,259500.0,30.0,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,830379.0,14352.0,6671.0,0.8,1.73,1,0,0
53,2015,Washington,USA,6985464.0,8.85,37.5,1014.0,61062.0,259500.0,30.0,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,907967.0,16804.0,7515.0,0.83,1.85,1,0,0
53,2016,Washington,USA,6985464.0,8.85,37.5,1014.0,61062.0,259500.0,30.0,70.76,3.49,11.96,1.16,7.6,0.61,4.28,0.14,968615.0,14166.0,7904.0,0.82,1.46,1,0,0
