Years,Percent_Members,Union,STUSPS,State
2000,21.6,Members of unions,AK, Alaska
2001,21.5,Members of unions,AK, Alaska
2002,24.4,Members of unions,AK, Alaska
2003,22.3,Members of unions,AK, Alaska
2004,20.1,Members of unions,AK, Alaska
2005,22.8,Members of unions,AK, Alaska
2006,22.2,Members of unions,AK, Alaska
2007,23.8,Members of unions,AK, Alaska
2008,23.5,Members of unions,AK, Alaska
2009,22.3,Members of unions,AK, Alaska
2010,22.9,Members of unions,AK, Alaska
2011,22.1,Members of unions,AK, Alaska
2012,22.4,Members of unions,AK, Alaska
2013,23.1,Members of unions,AK, Alaska
2014,22.8,Members of unions,AK, Alaska
2015,19.6,Members of unions,AK, Alaska
2016,18.5,Members of unions,AK, Alaska
