Years,Percent_Members,Union,STUSPS,State
2000,9.6,Members of unions,AL, Alabama
2001,10,Members of unions,AL, Alabama
2002,9.1,Members of unions,AL, Alabama
2003,8.1,Members of unions,AL, Alabama
2004,9.7,Members of unions,AL, Alabama
2005,10.2,Members of unions,AL, Alabama
2006,8.8,Members of unions,AL, Alabama
2007,9.5,Members of unions,AL, Alabama
2008,9.8,Members of unions,AL, Alabama
2009,10.9,Members of unions,AL, Alabama
2010,10.1,Members of unions,AL, Alabama
2011,10,Members of unions,AL, Alabama
2012,9.2,Members of unions,AL, Alabama
2013,10.7,Members of unions,AL, Alabama
2014,10.8,Members of unions,AL, Alabama
2015,10.2,Members of unions,AL, Alabama
2016,8.1,Members of unions,AL, Alabama
