Years,Percent_Members,Union,STUSPS,State
2000,5.8,Members of unions,AR, Arkansas
2001,6.5,Members of unions,AR, Arkansas
2002,5.9,Members of unions,AR, Arkansas
2003,4.8,Members of unions,AR, Arkansas
2004,4.8,Members of unions,AR, Arkansas
2005,4.8,Members of unions,AR, Arkansas
2006,5.1,Members of unions,AR, Arkansas
2007,5.4,Members of unions,AR, Arkansas
2008,5.9,Members of unions,AR, Arkansas
2009,4.2,Members of unions,AR, Arkansas
2010,4,Members of unions,AR, Arkansas
2011,4.2,Members of unions,AR, Arkansas
2012,3.2,Members of unions,AR, Arkansas
2013,3.5,Members of unions,AR, Arkansas
2014,4.7,Members of unions,AR, Arkansas
2015,5.1,Members of unions,AR, Arkansas
2016,3.9,Members of unions,AR, Arkansas
