Years,Percent_Members,Union,STUSPS,State
2000,6.6,Members of unions,AZ, Arizona
2001,6.1,Members of unions,AZ, Arizona
2002,5.5,Members of unions,AZ, Arizona
2003,5.2,Members of unions,AZ, Arizona
2004,6.3,Members of unions,AZ, Arizona
2005,6.1,Members of unions,AZ, Arizona
2006,7.6,Members of unions,AZ, Arizona
2007,8.8,Members of unions,AZ, Arizona
2008,8.8,Members of unions,AZ, Arizona
2009,6.5,Members of unions,AZ, Arizona
2010,6.4,Members of unions,AZ, Arizona
2011,6,Members of unions,AZ, Arizona
2012,5.1,Members of unions,AZ, Arizona
2013,5,Members of unions,AZ, Arizona
2014,5.3,Members of unions,AZ, Arizona
2015,5.2,Members of unions,AZ, Arizona
2016,4.5,Members of unions,AZ, Arizona
