Years,Percent_Members,Union,STUSPS,State
2000,15.5,Members of unions,CA, California
2001,16.1,Members of unions,CA, California
2002,17.5,Members of unions,CA, California
2003,16.8,Members of unions,CA, California
2004,16.5,Members of unions,CA, California
2005,16.5,Members of unions,CA, California
2006,15.7,Members of unions,CA, California
2007,16.7,Members of unions,CA, California
2008,18.4,Members of unions,CA, California
2009,17.2,Members of unions,CA, California
2010,17.5,Members of unions,CA, California
2011,17.1,Members of unions,CA, California
2012,17.2,Members of unions,CA, California
2013,16.4,Members of unions,CA, California
2014,16.3,Members of unions,CA, California
2015,15.9,Members of unions,CA, California
2016,15.9,Members of unions,CA, California
