Years,Percent_Members,Union,STUSPS,State
2000,16.4,Members of unions,CT, Connecticut
2001,15.1,Members of unions,CT, Connecticut
2002,16.8,Members of unions,CT, Connecticut
2003,15.4,Members of unions,CT, Connecticut
2004,15.3,Members of unions,CT, Connecticut
2005,15.9,Members of unions,CT, Connecticut
2006,15.6,Members of unions,CT, Connecticut
2007,15.6,Members of unions,CT, Connecticut
2008,16.9,Members of unions,CT, Connecticut
2009,17.3,Members of unions,CT, Connecticut
2010,16.7,Members of unions,CT, Connecticut
2011,16.8,Members of unions,CT, Connecticut
2012,14,Members of unions,CT, Connecticut
2013,13.5,Members of unions,CT, Connecticut
2014,14.8,Members of unions,CT, Connecticut
2015,17,Members of unions,CT, Connecticut
2016,17.5,Members of unions,CT, Connecticut
