Years,Percent_Members,Union,STUSPS,State
2000,14.4,Members of unions,DC, District of Columbia
2001,15.8,Members of unions,DC, District of Columbia
2002,13.9,Members of unions,DC, District of Columbia
2003,14.6,Members of unions,DC, District of Columbia
2004,12.7,Members of unions,DC, District of Columbia
2005,11.3,Members of unions,DC, District of Columbia
2006,10.3,Members of unions,DC, District of Columbia
2007,10.3,Members of unions,DC, District of Columbia
2008,12.2,Members of unions,DC, District of Columbia
2009,10.4,Members of unions,DC, District of Columbia
2010,9,Members of unions,DC, District of Columbia
2011,8.3,Members of unions,DC, District of Columbia
2012,8.6,Members of unions,DC, District of Columbia
2013,9.3,Members of unions,DC, District of Columbia
2014,8.6,Members of unions,DC, District of Columbia
2015,10.4,Members of unions,DC, District of Columbia
2016,9.5,Members of unions,DC, District of Columbia
