Years,Percent_Members,Union,STUSPS,State
2000,12.8,Members of unions,DE, Delaware
2001,12.6,Members of unions,DE, Delaware
2002,10.9,Members of unions,DE, Delaware
2003,11.4,Members of unions,DE, Delaware
2004,12.4,Members of unions,DE, Delaware
2005,11.8,Members of unions,DE, Delaware
2006,10.8,Members of unions,DE, Delaware
2007,12,Members of unions,DE, Delaware
2008,13.4,Members of unions,DE, Delaware
2009,11.9,Members of unions,DE, Delaware
2010,11.4,Members of unions,DE, Delaware
2011,10.5,Members of unions,DE, Delaware
2012,10.4,Members of unions,DE, Delaware
2013,10.3,Members of unions,DE, Delaware
2014,9.9,Members of unions,DE, Delaware
2015,9.2,Members of unions,DE, Delaware
2016,11.4,Members of unions,DE, Delaware
