Years,Percent_Members,Union,STUSPS,State
2000,6.8,Members of unions,FL, Florida
2001,6.4,Members of unions,FL, Florida
2002,5.7,Members of unions,FL, Florida
2003,6.1,Members of unions,FL, Florida
2004,6,Members of unions,FL, Florida
2005,5.4,Members of unions,FL, Florida
2006,5.2,Members of unions,FL, Florida
2007,5.9,Members of unions,FL, Florida
2008,6.4,Members of unions,FL, Florida
2009,5.8,Members of unions,FL, Florida
2010,5.6,Members of unions,FL, Florida
2011,6.3,Members of unions,FL, Florida
2012,5.8,Members of unions,FL, Florida
2013,5.4,Members of unions,FL, Florida
2014,5.7,Members of unions,FL, Florida
2015,6.8,Members of unions,FL, Florida
2016,5.6,Members of unions,FL, Florida
