Years,Percent_Members,Union,STUSPS,State
2000,6.5,Members of unions,GA, Georgia
2001,7,Members of unions,GA, Georgia
2002,6,Members of unions,GA, Georgia
2003,6.7,Members of unions,GA, Georgia
2004,6.4,Members of unions,GA, Georgia
2005,5,Members of unions,GA, Georgia
2006,4.4,Members of unions,GA, Georgia
2007,4.4,Members of unions,GA, Georgia
2008,3.7,Members of unions,GA, Georgia
2009,4.6,Members of unions,GA, Georgia
2010,4,Members of unions,GA, Georgia
2011,3.9,Members of unions,GA, Georgia
2012,4.4,Members of unions,GA, Georgia
2013,5.3,Members of unions,GA, Georgia
2014,4.3,Members of unions,GA, Georgia
2015,4,Members of unions,GA, Georgia
2016,3.9,Members of unions,GA, Georgia
