Years,Percent_Members,Union,STUSPS,State
2000,24.8,Members of unions,HI, Hawaii
2001,22.9,Members of unions,HI, Hawaii
2002,24.5,Members of unions,HI, Hawaii
2003,23.8,Members of unions,HI, Hawaii
2004,23.7,Members of unions,HI, Hawaii
2005,25.8,Members of unions,HI, Hawaii
2006,24.7,Members of unions,HI, Hawaii
2007,23.4,Members of unions,HI, Hawaii
2008,24.3,Members of unions,HI, Hawaii
2009,23.5,Members of unions,HI, Hawaii
2010,21.8,Members of unions,HI, Hawaii
2011,21.5,Members of unions,HI, Hawaii
2012,21.6,Members of unions,HI, Hawaii
2013,22.1,Members of unions,HI, Hawaii
2014,21.8,Members of unions,HI, Hawaii
2015,20.4,Members of unions,HI, Hawaii
2016,19.9,Members of unions,HI, Hawaii
