Years,Percent_Members,Union,STUSPS,State
2000,13.2,Members of unions,IA, Iowa
2001,13,Members of unions,IA, Iowa
2002,11.1,Members of unions,IA, Iowa
2003,11.5,Members of unions,IA, Iowa
2004,10.5,Members of unions,IA, Iowa
2005,11.5,Members of unions,IA, Iowa
2006,11.3,Members of unions,IA, Iowa
2007,10.5,Members of unions,IA, Iowa
2008,10.6,Members of unions,IA, Iowa
2009,11.1,Members of unions,IA, Iowa
2010,11.4,Members of unions,IA, Iowa
2011,11.2,Members of unions,IA, Iowa
2012,10.4,Members of unions,IA, Iowa
2013,10.1,Members of unions,IA, Iowa
2014,10.7,Members of unions,IA, Iowa
2015,9.6,Members of unions,IA, Iowa
2016,8.9,Members of unions,IA, Iowa
