Years,Percent_Members,Union,STUSPS,State
2000,7.8,Members of unions,ID, Idaho
2001,7.4,Members of unions,ID, Idaho
2002,6.9,Members of unions,ID, Idaho
2003,7,Members of unions,ID, Idaho
2004,5.8,Members of unions,ID, Idaho
2005,5.2,Members of unions,ID, Idaho
2006,6,Members of unions,ID, Idaho
2007,5.3,Members of unions,ID, Idaho
2008,7.1,Members of unions,ID, Idaho
2009,6.3,Members of unions,ID, Idaho
2010,7.1,Members of unions,ID, Idaho
2011,5.1,Members of unions,ID, Idaho
2012,4.8,Members of unions,ID, Idaho
2013,4.7,Members of unions,ID, Idaho
2014,5.3,Members of unions,ID, Idaho
2015,6.8,Members of unions,ID, Idaho
2016,6.1,Members of unions,ID, Idaho
