Years,Percent_Members,Union,STUSPS,State
2000,18.3,Members of unions,IL, Illinois
2001,18.1,Members of unions,IL, Illinois
2002,19.6,Members of unions,IL, Illinois
2003,17.9,Members of unions,IL, Illinois
2004,16.8,Members of unions,IL, Illinois
2005,16.9,Members of unions,IL, Illinois
2006,16.4,Members of unions,IL, Illinois
2007,14.5,Members of unions,IL, Illinois
2008,16.6,Members of unions,IL, Illinois
2009,17.5,Members of unions,IL, Illinois
2010,15.5,Members of unions,IL, Illinois
2011,16.2,Members of unions,IL, Illinois
2012,14.6,Members of unions,IL, Illinois
2013,15.8,Members of unions,IL, Illinois
2014,15.1,Members of unions,IL, Illinois
2015,15.2,Members of unions,IL, Illinois
2016,14.5,Members of unions,IL, Illinois
