Years,Percent_Members,Union,STUSPS,State
2000,15.4,Members of unions,IN, Indiana
2001,14.6,Members of unions,IN, Indiana
2002,13.4,Members of unions,IN, Indiana
2003,11.8,Members of unions,IN, Indiana
2004,11.4,Members of unions,IN, Indiana
2005,12.4,Members of unions,IN, Indiana
2006,12,Members of unions,IN, Indiana
2007,12,Members of unions,IN, Indiana
2008,12.4,Members of unions,IN, Indiana
2009,10.6,Members of unions,IN, Indiana
2010,10.9,Members of unions,IN, Indiana
2011,11.3,Members of unions,IN, Indiana
2012,9.1,Members of unions,IN, Indiana
2013,9.3,Members of unions,IN, Indiana
2014,10.7,Members of unions,IN, Indiana
2015,10,Members of unions,IN, Indiana
2016,10.4,Members of unions,IN, Indiana
