Years,Percent_Members,Union,STUSPS,State
2000,9,Members of unions,KS, Kansas
2001,9.2,Members of unions,KS, Kansas
2002,8.2,Members of unions,KS, Kansas
2003,7.9,Members of unions,KS, Kansas
2004,8.4,Members of unions,KS, Kansas
2005,7,Members of unions,KS, Kansas
2006,8,Members of unions,KS, Kansas
2007,7,Members of unions,KS, Kansas
2008,7,Members of unions,KS, Kansas
2009,6.2,Members of unions,KS, Kansas
2010,6.8,Members of unions,KS, Kansas
2011,7.6,Members of unions,KS, Kansas
2012,6.8,Members of unions,KS, Kansas
2013,7.5,Members of unions,KS, Kansas
2014,7.4,Members of unions,KS, Kansas
2015,8.7,Members of unions,KS, Kansas
2016,8.6,Members of unions,KS, Kansas
