Years,Percent_Members,Union,STUSPS,State
2000,12.2,Members of unions,KY, Kentucky
2001,11.2,Members of unions,KY, Kentucky
2002,10.1,Members of unions,KY, Kentucky
2003,10.4,Members of unions,KY, Kentucky
2004,9.6,Members of unions,KY, Kentucky
2005,9.7,Members of unions,KY, Kentucky
2006,9.8,Members of unions,KY, Kentucky
2007,9.1,Members of unions,KY, Kentucky
2008,8.6,Members of unions,KY, Kentucky
2009,8.6,Members of unions,KY, Kentucky
2010,8.9,Members of unions,KY, Kentucky
2011,8.9,Members of unions,KY, Kentucky
2012,10,Members of unions,KY, Kentucky
2013,11.2,Members of unions,KY, Kentucky
2014,11,Members of unions,KY, Kentucky
2015,11,Members of unions,KY, Kentucky
2016,11.1,Members of unions,KY, Kentucky
