Years,Percent_Members,Union,STUSPS,State
2000,7.2,Members of unions,LA, Louisiana
2001,7.7,Members of unions,LA, Louisiana
2002,8.4,Members of unions,LA, Louisiana
2003,6.5,Members of unions,LA, Louisiana
2004,7.6,Members of unions,LA, Louisiana
2005,6.4,Members of unions,LA, Louisiana
2006,6.4,Members of unions,LA, Louisiana
2007,5.6,Members of unions,LA, Louisiana
2008,4.6,Members of unions,LA, Louisiana
2009,5.8,Members of unions,LA, Louisiana
2010,4.3,Members of unions,LA, Louisiana
2011,4.5,Members of unions,LA, Louisiana
2012,6.2,Members of unions,LA, Louisiana
2013,4.3,Members of unions,LA, Louisiana
2014,5.2,Members of unions,LA, Louisiana
2015,5.8,Members of unions,LA, Louisiana
2016,4.2,Members of unions,LA, Louisiana
