Years,Percent_Members,Union,STUSPS,State
2000,14.2,Members of unions,MA, Massachusetts
2001,14.8,Members of unions,MA, Massachusetts
2002,14.2,Members of unions,MA, Massachusetts
2003,14.2,Members of unions,MA, Massachusetts
2004,13.5,Members of unions,MA, Massachusetts
2005,13.9,Members of unions,MA, Massachusetts
2006,14.5,Members of unions,MA, Massachusetts
2007,13.2,Members of unions,MA, Massachusetts
2008,15.7,Members of unions,MA, Massachusetts
2009,16.6,Members of unions,MA, Massachusetts
2010,14.5,Members of unions,MA, Massachusetts
2011,14.6,Members of unions,MA, Massachusetts
2012,14.4,Members of unions,MA, Massachusetts
2013,13.7,Members of unions,MA, Massachusetts
2014,13.7,Members of unions,MA, Massachusetts
2015,12.9,Members of unions,MA, Massachusetts
2016,12.1,Members of unions,MA, Massachusetts
