Years,Percent_Members,Union,STUSPS,State
2000,14.6,Members of unions,MD, Maryland
2001,13.5,Members of unions,MD, Maryland
2002,14.4,Members of unions,MD, Maryland
2003,14.3,Members of unions,MD, Maryland
2004,10.9,Members of unions,MD, Maryland
2005,13.3,Members of unions,MD, Maryland
2006,13.1,Members of unions,MD, Maryland
2007,12.9,Members of unions,MD, Maryland
2008,12.6,Members of unions,MD, Maryland
2009,12.6,Members of unions,MD, Maryland
2010,11.6,Members of unions,MD, Maryland
2011,12.4,Members of unions,MD, Maryland
2012,10.6,Members of unions,MD, Maryland
2013,11.6,Members of unions,MD, Maryland
2014,11.9,Members of unions,MD, Maryland
2015,10.4,Members of unions,MD, Maryland
2016,11,Members of unions,MD, Maryland
