Years,Percent_Members,Union,STUSPS,State
2000,13.8,Members of unions,ME, Maine
2001,13,Members of unions,ME, Maine
2002,13,Members of unions,ME, Maine
2003,12.8,Members of unions,ME, Maine
2004,11.3,Members of unions,ME, Maine
2005,11.9,Members of unions,ME, Maine
2006,11.9,Members of unions,ME, Maine
2007,11.7,Members of unions,ME, Maine
2008,12.3,Members of unions,ME, Maine
2009,11.7,Members of unions,ME, Maine
2010,11.6,Members of unions,ME, Maine
2011,11.3,Members of unions,ME, Maine
2012,11.5,Members of unions,ME, Maine
2013,11.1,Members of unions,ME, Maine
2014,11,Members of unions,ME, Maine
2015,11.6,Members of unions,ME, Maine
2016,11.4,Members of unions,ME, Maine
