Years,Percent_Members,Union,STUSPS,State
2000,20.3,Members of unions,MI, Michigan
2001,21.2,Members of unions,MI, Michigan
2002,21,Members of unions,MI, Michigan
2003,21.9,Members of unions,MI, Michigan
2004,21.6,Members of unions,MI, Michigan
2005,20.5,Members of unions,MI, Michigan
2006,19.6,Members of unions,MI, Michigan
2007,19.5,Members of unions,MI, Michigan
2008,18.8,Members of unions,MI, Michigan
2009,18.8,Members of unions,MI, Michigan
2010,16.5,Members of unions,MI, Michigan
2011,17.5,Members of unions,MI, Michigan
2012,16.6,Members of unions,MI, Michigan
2013,16.3,Members of unions,MI, Michigan
2014,14.5,Members of unions,MI, Michigan
2015,15.2,Members of unions,MI, Michigan
2016,14.4,Members of unions,MI, Michigan
