Years,Percent_Members,Union,STUSPS,State
2000,18.2,Members of unions,MN, Minnesota
2001,17.7,Members of unions,MN, Minnesota
2002,17.6,Members of unions,MN, Minnesota
2003,17,Members of unions,MN, Minnesota
2004,17.5,Members of unions,MN, Minnesota
2005,15.7,Members of unions,MN, Minnesota
2006,16,Members of unions,MN, Minnesota
2007,16.3,Members of unions,MN, Minnesota
2008,16.1,Members of unions,MN, Minnesota
2009,15.1,Members of unions,MN, Minnesota
2010,15.6,Members of unions,MN, Minnesota
2011,15.1,Members of unions,MN, Minnesota
2012,14.2,Members of unions,MN, Minnesota
2013,14.3,Members of unions,MN, Minnesota
2014,14.2,Members of unions,MN, Minnesota
2015,14.2,Members of unions,MN, Minnesota
2016,14.2,Members of unions,MN, Minnesota
