Years,Percent_Members,Union,STUSPS,State
2000,13.2,Members of unions,MO, Missouri
2001,13.4,Members of unions,MO, Missouri
2002,13.2,Members of unions,MO, Missouri
2003,13.2,Members of unions,MO, Missouri
2004,12.4,Members of unions,MO, Missouri
2005,11.5,Members of unions,MO, Missouri
2006,10.9,Members of unions,MO, Missouri
2007,10.7,Members of unions,MO, Missouri
2008,11.2,Members of unions,MO, Missouri
2009,9.4,Members of unions,MO, Missouri
2010,9.9,Members of unions,MO, Missouri
2011,10.9,Members of unions,MO, Missouri
2012,8.9,Members of unions,MO, Missouri
2013,8.6,Members of unions,MO, Missouri
2014,8.4,Members of unions,MO, Missouri
2015,8.8,Members of unions,MO, Missouri
2016,9.7,Members of unions,MO, Missouri
