Years,Percent_Members,Union,STUSPS,State
2000,6.2,Members of unions,MS, Mississippi
2001,5.5,Members of unions,MS, Mississippi
2002,6.7,Members of unions,MS, Mississippi
2003,5,Members of unions,MS, Mississippi
2004,4.8,Members of unions,MS, Mississippi
2005,7.1,Members of unions,MS, Mississippi
2006,5.6,Members of unions,MS, Mississippi
2007,6.7,Members of unions,MS, Mississippi
2008,5.3,Members of unions,MS, Mississippi
2009,4.8,Members of unions,MS, Mississippi
2010,4.5,Members of unions,MS, Mississippi
2011,5,Members of unions,MS, Mississippi
2012,4.3,Members of unions,MS, Mississippi
2013,3.7,Members of unions,MS, Mississippi
2014,3.7,Members of unions,MS, Mississippi
2015,5.4,Members of unions,MS, Mississippi
2016,6.6,Members of unions,MS, Mississippi
