Years,Percent_Members,Union,STUSPS,State
2000,13.8,Members of unions,MT, Montana
2001,13.3,Members of unions,MT, Montana
2002,14.2,Members of unions,MT, Montana
2003,14,Members of unions,MT, Montana
2004,11.7,Members of unions,MT, Montana
2005,10.7,Members of unions,MT, Montana
2006,12.2,Members of unions,MT, Montana
2007,13.5,Members of unions,MT, Montana
2008,12.2,Members of unions,MT, Montana
2009,13.9,Members of unions,MT, Montana
2010,12.7,Members of unions,MT, Montana
2011,13,Members of unions,MT, Montana
2012,13.9,Members of unions,MT, Montana
2013,13,Members of unions,MT, Montana
2014,12.7,Members of unions,MT, Montana
2015,12.2,Members of unions,MT, Montana
2016,11.9,Members of unions,MT, Montana
