Years,Percent_Members,Union,STUSPS,State
2000,4,Members of unions,NC, North Carolina
2001,4,Members of unions,NC, North Carolina
2002,3.4,Members of unions,NC, North Carolina
2003,3.1,Members of unions,NC, North Carolina
2004,2.7,Members of unions,NC, North Carolina
2005,2.9,Members of unions,NC, North Carolina
2006,3.3,Members of unions,NC, North Carolina
2007,3,Members of unions,NC, North Carolina
2008,3.5,Members of unions,NC, North Carolina
2009,3.1,Members of unions,NC, North Carolina
2010,3.2,Members of unions,NC, North Carolina
2011,2.9,Members of unions,NC, North Carolina
2012,2.9,Members of unions,NC, North Carolina
2013,3,Members of unions,NC, North Carolina
2014,1.9,Members of unions,NC, North Carolina
2015,3,Members of unions,NC, North Carolina
2016,3,Members of unions,NC, North Carolina
