Years,Percent_Members,Union,STUSPS,State
2000,6.4,Members of unions,ND, North Dakota
2001,7.3,Members of unions,ND, North Dakota
2002,8.2,Members of unions,ND, North Dakota
2003,7.3,Members of unions,ND, North Dakota
2004,7.7,Members of unions,ND, North Dakota
2005,7.3,Members of unions,ND, North Dakota
2006,6.8,Members of unions,ND, North Dakota
2007,6.4,Members of unions,ND, North Dakota
2008,6.1,Members of unions,ND, North Dakota
2009,6.8,Members of unions,ND, North Dakota
2010,7.4,Members of unions,ND, North Dakota
2011,6.3,Members of unions,ND, North Dakota
2012,6.1,Members of unions,ND, North Dakota
2013,6.4,Members of unions,ND, North Dakota
2014,5,Members of unions,ND, North Dakota
2015,5.4,Members of unions,ND, North Dakota
2016,5.5,Members of unions,ND, North Dakota
