Years,Percent_Members,Union,STUSPS,State
2000,8.4,Members of unions,NE, Nebraska
2001,8.1,Members of unions,NE, Nebraska
2002,8.1,Members of unions,NE, Nebraska
2003,7.9,Members of unions,NE, Nebraska
2004,8.3,Members of unions,NE, Nebraska
2005,8.3,Members of unions,NE, Nebraska
2006,7.9,Members of unions,NE, Nebraska
2007,7.8,Members of unions,NE, Nebraska
2008,8.3,Members of unions,NE, Nebraska
2009,9.2,Members of unions,NE, Nebraska
2010,9.3,Members of unions,NE, Nebraska
2011,7.9,Members of unions,NE, Nebraska
2012,6,Members of unions,NE, Nebraska
2013,7.3,Members of unions,NE, Nebraska
2014,7.3,Members of unions,NE, Nebraska
2015,7.7,Members of unions,NE, Nebraska
2016,7.4,Members of unions,NE, Nebraska
