Years,Percent_Members,Union,STUSPS,State
2000,10.2,Members of unions,NH, New Hampshire
2001,10.1,Members of unions,NH, New Hampshire
2002,9.8,Members of unions,NH, New Hampshire
2003,9.3,Members of unions,NH, New Hampshire
2004,9.9,Members of unions,NH, New Hampshire
2005,10.4,Members of unions,NH, New Hampshire
2006,10.1,Members of unions,NH, New Hampshire
2007,9.7,Members of unions,NH, New Hampshire
2008,10.6,Members of unions,NH, New Hampshire
2009,10.8,Members of unions,NH, New Hampshire
2010,10.2,Members of unions,NH, New Hampshire
2011,11.1,Members of unions,NH, New Hampshire
2012,10.5,Members of unions,NH, New Hampshire
2013,9.6,Members of unions,NH, New Hampshire
2014,9.9,Members of unions,NH, New Hampshire
2015,9.7,Members of unions,NH, New Hampshire
2016,9.4,Members of unions,NH, New Hampshire
