Years,Percent_Members,Union,STUSPS,State
2000,20.6,Members of unions,NJ, New Jersey
2001,19.3,Members of unions,NJ, New Jersey
2002,19.6,Members of unions,NJ, New Jersey
2003,19.5,Members of unions,NJ, New Jersey
2004,19.8,Members of unions,NJ, New Jersey
2005,20.5,Members of unions,NJ, New Jersey
2006,20.1,Members of unions,NJ, New Jersey
2007,19.2,Members of unions,NJ, New Jersey
2008,18.3,Members of unions,NJ, New Jersey
2009,19.3,Members of unions,NJ, New Jersey
2010,17.1,Members of unions,NJ, New Jersey
2011,16.1,Members of unions,NJ, New Jersey
2012,16.1,Members of unions,NJ, New Jersey
2013,16,Members of unions,NJ, New Jersey
2014,16.5,Members of unions,NJ, New Jersey
2015,15.4,Members of unions,NJ, New Jersey
2016,16.1,Members of unions,NJ, New Jersey
