Years,Percent_Members,Union,STUSPS,State
2000,8.1,Members of unions,NM, New Mexico
2001,7.9,Members of unions,NM, New Mexico
2002,6.8,Members of unions,NM, New Mexico
2003,7.6,Members of unions,NM, New Mexico
2004,6.7,Members of unions,NM, New Mexico
2005,8.1,Members of unions,NM, New Mexico
2006,7.8,Members of unions,NM, New Mexico
2007,7.7,Members of unions,NM, New Mexico
2008,7.2,Members of unions,NM, New Mexico
2009,6.7,Members of unions,NM, New Mexico
2010,7.3,Members of unions,NM, New Mexico
2011,6.8,Members of unions,NM, New Mexico
2012,6.5,Members of unions,NM, New Mexico
2013,6.2,Members of unions,NM, New Mexico
2014,5.7,Members of unions,NM, New Mexico
2015,6.2,Members of unions,NM, New Mexico
2016,6.3,Members of unions,NM, New Mexico
