Years,Percent_Members,Union,STUSPS,State
2000,17.1,Members of unions,NV, Nevada
2001,16.5,Members of unions,NV, Nevada
2002,15.3,Members of unions,NV, Nevada
2003,14.4,Members of unions,NV, Nevada
2004,12.5,Members of unions,NV, Nevada
2005,13.8,Members of unions,NV, Nevada
2006,14.8,Members of unions,NV, Nevada
2007,15.4,Members of unions,NV, Nevada
2008,16.7,Members of unions,NV, Nevada
2009,15.7,Members of unions,NV, Nevada
2010,15,Members of unions,NV, Nevada
2011,14.6,Members of unions,NV, Nevada
2012,14.7,Members of unions,NV, Nevada
2013,14.6,Members of unions,NV, Nevada
2014,14.4,Members of unions,NV, Nevada
2015,14.3,Members of unions,NV, Nevada
2016,12.1,Members of unions,NV, Nevada
