Years,Percent_Members,Union,STUSPS,State
2000,24.9,Members of unions,NY, New York
2001,25.8,Members of unions,NY, New York
2002,25.3,Members of unions,NY, New York
2003,24.6,Members of unions,NY, New York
2004,25.3,Members of unions,NY, New York
2005,26.1,Members of unions,NY, New York
2006,24.4,Members of unions,NY, New York
2007,25.2,Members of unions,NY, New York
2008,24.9,Members of unions,NY, New York
2009,25.2,Members of unions,NY, New York
2010,24.2,Members of unions,NY, New York
2011,24.1,Members of unions,NY, New York
2012,23.2,Members of unions,NY, New York
2013,24.4,Members of unions,NY, New York
2014,24.6,Members of unions,NY, New York
2015,24.7,Members of unions,NY, New York
2016,23.6,Members of unions,NY, New York
