Years,Percent_Members,Union,STUSPS,State
2000,17.4,Members of unions,OH, Ohio
2001,17.6,Members of unions,OH, Ohio
2002,16.8,Members of unions,OH, Ohio
2003,16.7,Members of unions,OH, Ohio
2004,15.2,Members of unions,OH, Ohio
2005,16,Members of unions,OH, Ohio
2006,14.2,Members of unions,OH, Ohio
2007,14.1,Members of unions,OH, Ohio
2008,14.2,Members of unions,OH, Ohio
2009,14.2,Members of unions,OH, Ohio
2010,13.7,Members of unions,OH, Ohio
2011,13.4,Members of unions,OH, Ohio
2012,12.6,Members of unions,OH, Ohio
2013,12.6,Members of unions,OH, Ohio
2014,12.4,Members of unions,OH, Ohio
2015,12.3,Members of unions,OH, Ohio
2016,12.4,Members of unions,OH, Ohio
