Years,Percent_Members,Union,STUSPS,State
2000,6.9,Members of unions,OK, Oklahoma
2001,8.6,Members of unions,OK, Oklahoma
2002,9,Members of unions,OK, Oklahoma
2003,6.8,Members of unions,OK, Oklahoma
2004,6.1,Members of unions,OK, Oklahoma
2005,5.4,Members of unions,OK, Oklahoma
2006,6.4,Members of unions,OK, Oklahoma
2007,7.1,Members of unions,OK, Oklahoma
2008,6.6,Members of unions,OK, Oklahoma
2009,5.7,Members of unions,OK, Oklahoma
2010,5.5,Members of unions,OK, Oklahoma
2011,6.4,Members of unions,OK, Oklahoma
2012,7.5,Members of unions,OK, Oklahoma
2013,7.5,Members of unions,OK, Oklahoma
2014,6,Members of unions,OK, Oklahoma
2015,5.6,Members of unions,OK, Oklahoma
2016,5.4,Members of unions,OK, Oklahoma
