Years,Percent_Members,Union,STUSPS,State
2000,15.7,Members of unions,OR, Oregon
2001,15.4,Members of unions,OR, Oregon
2002,15.5,Members of unions,OR, Oregon
2003,15.7,Members of unions,OR, Oregon
2004,15.2,Members of unions,OR, Oregon
2005,14.5,Members of unions,OR, Oregon
2006,13.8,Members of unions,OR, Oregon
2007,14.3,Members of unions,OR, Oregon
2008,16.6,Members of unions,OR, Oregon
2009,17,Members of unions,OR, Oregon
2010,16.2,Members of unions,OR, Oregon
2011,17.1,Members of unions,OR, Oregon
2012,15.7,Members of unions,OR, Oregon
2013,13.9,Members of unions,OR, Oregon
2014,15.6,Members of unions,OR, Oregon
2015,14.8,Members of unions,OR, Oregon
2016,13.5,Members of unions,OR, Oregon
