Years,Percent_Members,Union,STUSPS,State
2000,16.9,Members of unions,PA, Pennsylvania
2001,17,Members of unions,PA, Pennsylvania
2002,15.6,Members of unions,PA, Pennsylvania
2003,15.1,Members of unions,PA, Pennsylvania
2004,15,Members of unions,PA, Pennsylvania
2005,13.8,Members of unions,PA, Pennsylvania
2006,13.6,Members of unions,PA, Pennsylvania
2007,15.1,Members of unions,PA, Pennsylvania
2008,15.4,Members of unions,PA, Pennsylvania
2009,15,Members of unions,PA, Pennsylvania
2010,14.7,Members of unions,PA, Pennsylvania
2011,14.6,Members of unions,PA, Pennsylvania
2012,13.5,Members of unions,PA, Pennsylvania
2013,12.7,Members of unions,PA, Pennsylvania
2014,12.7,Members of unions,PA, Pennsylvania
2015,13.3,Members of unions,PA, Pennsylvania
2016,12.1,Members of unions,PA, Pennsylvania
