Years,Percent_Members,Union,STUSPS,State
2000,18,Members of unions,RI, Rhode Island
2001,16.4,Members of unions,RI, Rhode Island
2002,17.3,Members of unions,RI, Rhode Island
2003,17,Members of unions,RI, Rhode Island
2004,16.3,Members of unions,RI, Rhode Island
2005,15.9,Members of unions,RI, Rhode Island
2006,15.3,Members of unions,RI, Rhode Island
2007,15,Members of unions,RI, Rhode Island
2008,16.5,Members of unions,RI, Rhode Island
2009,17.9,Members of unions,RI, Rhode Island
2010,16.4,Members of unions,RI, Rhode Island
2011,17.4,Members of unions,RI, Rhode Island
2012,17.8,Members of unions,RI, Rhode Island
2013,16.9,Members of unions,RI, Rhode Island
2014,15.1,Members of unions,RI, Rhode Island
2015,14.2,Members of unions,RI, Rhode Island
2016,15.5,Members of unions,RI, Rhode Island
