Years,Percent_Members,Union,STUSPS,State
2000,4.2,Members of unions,SC, South Carolina
2001,5.1,Members of unions,SC, South Carolina
2002,4.9,Members of unions,SC, South Carolina
2003,4.2,Members of unions,SC, South Carolina
2004,3,Members of unions,SC, South Carolina
2005,2.3,Members of unions,SC, South Carolina
2006,3.3,Members of unions,SC, South Carolina
2007,4.1,Members of unions,SC, South Carolina
2008,3.9,Members of unions,SC, South Carolina
2009,4.5,Members of unions,SC, South Carolina
2010,4.6,Members of unions,SC, South Carolina
2011,3.4,Members of unions,SC, South Carolina
2012,3.3,Members of unions,SC, South Carolina
2013,3.7,Members of unions,SC, South Carolina
2014,2.2,Members of unions,SC, South Carolina
2015,2.1,Members of unions,SC, South Carolina
2016,1.6,Members of unions,SC, South Carolina
