Years,Percent_Members,Union,STUSPS,State
2000,5.6,Members of unions,SD, South Dakota
2001,5.9,Members of unions,SD, South Dakota
2002,5.6,Members of unions,SD, South Dakota
2003,5.4,Members of unions,SD, South Dakota
2004,6,Members of unions,SD, South Dakota
2005,5.9,Members of unions,SD, South Dakota
2006,5.9,Members of unions,SD, South Dakota
2007,6.5,Members of unions,SD, South Dakota
2008,5,Members of unions,SD, South Dakota
2009,5.5,Members of unions,SD, South Dakota
2010,5.6,Members of unions,SD, South Dakota
2011,5.1,Members of unions,SD, South Dakota
2012,5.6,Members of unions,SD, South Dakota
2013,4.8,Members of unions,SD, South Dakota
2014,4.9,Members of unions,SD, South Dakota
2015,5.9,Members of unions,SD, South Dakota
2016,5.2,Members of unions,SD, South Dakota
