Years,Percent_Members,Union,STUSPS,State
2000,9.1,Members of unions,TN, Tennessee
2001,8,Members of unions,TN, Tennessee
2002,9.1,Members of unions,TN, Tennessee
2003,7.5,Members of unions,TN, Tennessee
2004,6.7,Members of unions,TN, Tennessee
2005,5.4,Members of unions,TN, Tennessee
2006,6,Members of unions,TN, Tennessee
2007,5.3,Members of unions,TN, Tennessee
2008,5.5,Members of unions,TN, Tennessee
2009,5.1,Members of unions,TN, Tennessee
2010,4.7,Members of unions,TN, Tennessee
2011,4.6,Members of unions,TN, Tennessee
2012,4.8,Members of unions,TN, Tennessee
2013,6.1,Members of unions,TN, Tennessee
2014,5,Members of unions,TN, Tennessee
2015,5.4,Members of unions,TN, Tennessee
2016,5.7,Members of unions,TN, Tennessee
