Years,Percent_Members,Union,STUSPS,State
2000,6.1,Members of unions,TX, Texas
2001,5.9,Members of unions,TX, Texas
2002,5.1,Members of unions,TX, Texas
2003,5.6,Members of unions,TX, Texas
2004,5,Members of unions,TX, Texas
2005,5.3,Members of unions,TX, Texas
2006,4.9,Members of unions,TX, Texas
2007,4.7,Members of unions,TX, Texas
2008,4.5,Members of unions,TX, Texas
2009,5.1,Members of unions,TX, Texas
2010,5.4,Members of unions,TX, Texas
2011,5.2,Members of unions,TX, Texas
2012,5.7,Members of unions,TX, Texas
2013,4.8,Members of unions,TX, Texas
2014,4.8,Members of unions,TX, Texas
2015,4.5,Members of unions,TX, Texas
2016,4,Members of unions,TX, Texas
