Years,Percent_Members,Union,STUSPS,State
2000,7.4,Members of unions,UT, Utah
2001,7.2,Members of unions,UT, Utah
2002,6.3,Members of unions,UT, Utah
2003,5.2,Members of unions,UT, Utah
2004,5.8,Members of unions,UT, Utah
2005,4.9,Members of unions,UT, Utah
2006,5.4,Members of unions,UT, Utah
2007,5.8,Members of unions,UT, Utah
2008,5.8,Members of unions,UT, Utah
2009,6.9,Members of unions,UT, Utah
2010,6.5,Members of unions,UT, Utah
2011,5.8,Members of unions,UT, Utah
2012,5.2,Members of unions,UT, Utah
2013,3.9,Members of unions,UT, Utah
2014,3.7,Members of unions,UT, Utah
2015,3.9,Members of unions,UT, Utah
2016,4.7,Members of unions,UT, Utah
