Years,Percent_Members,Union,STUSPS,State
2000,5.8,Members of unions,VA, Virginia
2001,5.5,Members of unions,VA, Virginia
2002,6,Members of unions,VA, Virginia
2003,6.5,Members of unions,VA, Virginia
2004,5.3,Members of unions,VA, Virginia
2005,4.8,Members of unions,VA, Virginia
2006,4,Members of unions,VA, Virginia
2007,3.7,Members of unions,VA, Virginia
2008,4.1,Members of unions,VA, Virginia
2009,4.7,Members of unions,VA, Virginia
2010,4.6,Members of unions,VA, Virginia
2011,4.6,Members of unions,VA, Virginia
2012,4.4,Members of unions,VA, Virginia
2013,5,Members of unions,VA, Virginia
2014,4.9,Members of unions,VA, Virginia
2015,5.4,Members of unions,VA, Virginia
2016,4.3,Members of unions,VA, Virginia
