Years,Percent_Members,Union,STUSPS,State
2000,10.4,Members of unions,VT, Vermont
2001,11,Members of unions,VT, Vermont
2002,9.6,Members of unions,VT, Vermont
2003,9.7,Members of unions,VT, Vermont
2004,9.8,Members of unions,VT, Vermont
2005,10.8,Members of unions,VT, Vermont
2006,11,Members of unions,VT, Vermont
2007,10.4,Members of unions,VT, Vermont
2008,10.4,Members of unions,VT, Vermont
2009,12.3,Members of unions,VT, Vermont
2010,11.8,Members of unions,VT, Vermont
2011,12,Members of unions,VT, Vermont
2012,10.7,Members of unions,VT, Vermont
2013,10.9,Members of unions,VT, Vermont
2014,11.1,Members of unions,VT, Vermont
2015,12.6,Members of unions,VT, Vermont
2016,11.5,Members of unions,VT, Vermont
