Years,Percent_Members,Union,STUSPS,State
2000,17.9,Members of unions,WA, Washington
2001,17.9,Members of unions,WA, Washington
2002,18.5,Members of unions,WA, Washington
2003,19.7,Members of unions,WA, Washington
2004,19.3,Members of unions,WA, Washington
2005,19.1,Members of unions,WA, Washington
2006,19.8,Members of unions,WA, Washington
2007,20.2,Members of unions,WA, Washington
2008,19.8,Members of unions,WA, Washington
2009,20.2,Members of unions,WA, Washington
2010,19.4,Members of unions,WA, Washington
2011,19,Members of unions,WA, Washington
2012,18.5,Members of unions,WA, Washington
2013,18.9,Members of unions,WA, Washington
2014,16.8,Members of unions,WA, Washington
2015,16.8,Members of unions,WA, Washington
2016,17.4,Members of unions,WA, Washington
