Years,Percent_Members,Union,STUSPS,State
2000,17.8,Members of unions,WI, Wisconsin
2001,16.1,Members of unions,WI, Wisconsin
2002,15.6,Members of unions,WI, Wisconsin
2003,15.9,Members of unions,WI, Wisconsin
2004,16,Members of unions,WI, Wisconsin
2005,16.1,Members of unions,WI, Wisconsin
2006,14.9,Members of unions,WI, Wisconsin
2007,14.3,Members of unions,WI, Wisconsin
2008,15,Members of unions,WI, Wisconsin
2009,15.2,Members of unions,WI, Wisconsin
2010,14.2,Members of unions,WI, Wisconsin
2011,13.3,Members of unions,WI, Wisconsin
2012,11.2,Members of unions,WI, Wisconsin
2013,12.3,Members of unions,WI, Wisconsin
2014,11.7,Members of unions,WI, Wisconsin
2015,8.3,Members of unions,WI, Wisconsin
2016,8.1,Members of unions,WI, Wisconsin
