Years,Percent_Members,Union,STUSPS,State
2000,14.3,Members of unions,WV, West Virginia
2001,14.1,Members of unions,WV, West Virginia
2002,13.3,Members of unions,WV, West Virginia
2003,13.1,Members of unions,WV, West Virginia
2004,14.2,Members of unions,WV, West Virginia
2005,14.4,Members of unions,WV, West Virginia
2006,14.2,Members of unions,WV, West Virginia
2007,13.3,Members of unions,WV, West Virginia
2008,13.8,Members of unions,WV, West Virginia
2009,13.9,Members of unions,WV, West Virginia
2010,14.8,Members of unions,WV, West Virginia
2011,13.8,Members of unions,WV, West Virginia
2012,12.1,Members of unions,WV, West Virginia
2013,12.7,Members of unions,WV, West Virginia
2014,10.6,Members of unions,WV, West Virginia
2015,12.4,Members of unions,WV, West Virginia
2016,11.8,Members of unions,WV, West Virginia
