Years,Percent_Members,Union,STUSPS,State
2000,8.8,Members of unions,WY, Wyoming
2001,8.9,Members of unions,WY, Wyoming
2002,7.8,Members of unions,WY, Wyoming
2003,8,Members of unions,WY, Wyoming
2004,8,Members of unions,WY, Wyoming
2005,7.9,Members of unions,WY, Wyoming
2006,8.3,Members of unions,WY, Wyoming
2007,7.9,Members of unions,WY, Wyoming
2008,7.7,Members of unions,WY, Wyoming
2009,7.7,Members of unions,WY, Wyoming
2010,7.4,Members of unions,WY, Wyoming
2011,7.2,Members of unions,WY, Wyoming
2012,6.7,Members of unions,WY, Wyoming
2013,5.7,Members of unions,WY, Wyoming
2014,6.7,Members of unions,WY, Wyoming
2015,7.1,Members of unions,WY, Wyoming
2016,6.3,Members of unions,WY, Wyoming
