Years,Percent_Members,Union,STUSPS,State
2000,13.4,Members of unions,,
2001,13.3,Members of unions,,
2002,13.3,Members of unions,,
2003,12.9,Members of unions,,
2004,12.5,Members of unions,,
2005,12.5,Members of unions,,
2006,12,Members of unions,,
2007,12.1,Members of unions,,
2008,12.4,Members of unions,,
2009,12.3,Members of unions,,
2010,11.9,Members of unions,,
2011,11.8,Members of unions,,
2012,11.3,Members of unions,,
2013,11.3,Members of unions,,
2014,11.1,Members of unions,,
2015,11.1,Members of unions,,
2016,10.7,Members of unions,,
