Years,Percent_Represented,Union,STUSPS,State
2000,24.5,Represented by unions,AK, Alaska
2001,24.6,Represented by unions,AK, Alaska
2002,26.9,Represented by unions,AK, Alaska
2003,24.6,Represented by unions,AK, Alaska
2004,22.4,Represented by unions,AK, Alaska
2005,24.1,Represented by unions,AK, Alaska
2006,23.8,Represented by unions,AK, Alaska
2007,24.7,Represented by unions,AK, Alaska
2008,24.7,Represented by unions,AK, Alaska
2009,23.6,Represented by unions,AK, Alaska
2010,24.8,Represented by unions,AK, Alaska
2011,23.7,Represented by unions,AK, Alaska
2012,23.9,Represented by unions,AK, Alaska
2013,24.5,Represented by unions,AK, Alaska
2014,24.4,Represented by unions,AK, Alaska
2015,21.7,Represented by unions,AK, Alaska
2016,19.9,Represented by unions,AK, Alaska
