Years,Percent_Represented,Union,STUSPS,State
2000,10.5,Represented by unions,AL, Alabama
2001,11.3,Represented by unions,AL, Alabama
2002,10.6,Represented by unions,AL, Alabama
2003,9.5,Represented by unions,AL, Alabama
2004,11.5,Represented by unions,AL, Alabama
2005,11.7,Represented by unions,AL, Alabama
2006,10,Represented by unions,AL, Alabama
2007,10.6,Represented by unions,AL, Alabama
2008,10.7,Represented by unions,AL, Alabama
2009,12,Represented by unions,AL, Alabama
2010,11.2,Represented by unions,AL, Alabama
2011,10.8,Represented by unions,AL, Alabama
2012,10.5,Represented by unions,AL, Alabama
2013,11.7,Represented by unions,AL, Alabama
2014,12.1,Represented by unions,AL, Alabama
2015,11,Represented by unions,AL, Alabama
2016,9,Represented by unions,AL, Alabama
