Years,Percent_Represented,Union,STUSPS,State
2000,6.8,Represented by unions,AR, Arkansas
2001,8.1,Represented by unions,AR, Arkansas
2002,6.7,Represented by unions,AR, Arkansas
2003,5.9,Represented by unions,AR, Arkansas
2004,6.2,Represented by unions,AR, Arkansas
2005,6,Represented by unions,AR, Arkansas
2006,6,Represented by unions,AR, Arkansas
2007,6.5,Represented by unions,AR, Arkansas
2008,7.3,Represented by unions,AR, Arkansas
2009,5,Represented by unions,AR, Arkansas
2010,5.4,Represented by unions,AR, Arkansas
2011,5.1,Represented by unions,AR, Arkansas
2012,3.7,Represented by unions,AR, Arkansas
2013,4.1,Represented by unions,AR, Arkansas
2014,5.4,Represented by unions,AR, Arkansas
2015,6.4,Represented by unions,AR, Arkansas
2016,5,Represented by unions,AR, Arkansas
