Years,Percent_Represented,Union,STUSPS,State
2000,7.6,Represented by unions,AZ, Arizona
2001,6.7,Represented by unions,AZ, Arizona
2002,6.6,Represented by unions,AZ, Arizona
2003,6.4,Represented by unions,AZ, Arizona
2004,7.9,Represented by unions,AZ, Arizona
2005,7.7,Represented by unions,AZ, Arizona
2006,9.7,Represented by unions,AZ, Arizona
2007,9.7,Represented by unions,AZ, Arizona
2008,9.8,Represented by unions,AZ, Arizona
2009,7.9,Represented by unions,AZ, Arizona
2010,8.1,Represented by unions,AZ, Arizona
2011,7.3,Represented by unions,AZ, Arizona
2012,6.5,Represented by unions,AZ, Arizona
2013,6,Represented by unions,AZ, Arizona
2014,6.7,Represented by unions,AZ, Arizona
2015,6.1,Represented by unions,AZ, Arizona
2016,5.5,Represented by unions,AZ, Arizona
