Years,Percent_Represented,Union,STUSPS,State
2000,17.4,Represented by unions,CA, California
2001,17.7,Represented by unions,CA, California
2002,18.8,Represented by unions,CA, California
2003,18.4,Represented by unions,CA, California
2004,18,Represented by unions,CA, California
2005,17.8,Represented by unions,CA, California
2006,16.9,Represented by unions,CA, California
2007,17.8,Represented by unions,CA, California
2008,19.5,Represented by unions,CA, California
2009,18.3,Represented by unions,CA, California
2010,18.6,Represented by unions,CA, California
2011,18.2,Represented by unions,CA, California
2012,18.4,Represented by unions,CA, California
2013,17.4,Represented by unions,CA, California
2014,17.5,Represented by unions,CA, California
2015,17.2,Represented by unions,CA, California
2016,17.5,Represented by unions,CA, California
