Years,Percent_Represented,Union,STUSPS,State
2000,10.6,Represented by unions,CO, Colorado
2001,10.3,Represented by unions,CO, Colorado
2002,9,Represented by unions,CO, Colorado
2003,9,Represented by unions,CO, Colorado
2004,9.3,Represented by unions,CO, Colorado
2005,9.4,Represented by unions,CO, Colorado
2006,8.6,Represented by unions,CO, Colorado
2007,9.2,Represented by unions,CO, Colorado
2008,9.2,Represented by unions,CO, Colorado
2009,8.3,Represented by unions,CO, Colorado
2010,8,Represented by unions,CO, Colorado
2011,9.3,Represented by unions,CO, Colorado
2012,8.8,Represented by unions,CO, Colorado
2013,9.2,Represented by unions,CO, Colorado
2014,10.7,Represented by unions,CO, Colorado
2015,9.3,Represented by unions,CO, Colorado
2016,10.8,Represented by unions,CO, Colorado
