Years,Percent_Represented,Union,STUSPS,State
2000,17.6,Represented by unions,CT, Connecticut
2001,15.8,Represented by unions,CT, Connecticut
2002,17.7,Represented by unions,CT, Connecticut
2003,16.4,Represented by unions,CT, Connecticut
2004,16.6,Represented by unions,CT, Connecticut
2005,17,Represented by unions,CT, Connecticut
2006,16.5,Represented by unions,CT, Connecticut
2007,16.6,Represented by unions,CT, Connecticut
2008,17.9,Represented by unions,CT, Connecticut
2009,18.4,Represented by unions,CT, Connecticut
2010,17.4,Represented by unions,CT, Connecticut
2011,17.7,Represented by unions,CT, Connecticut
2012,15.1,Represented by unions,CT, Connecticut
2013,14.3,Represented by unions,CT, Connecticut
2014,15.7,Represented by unions,CT, Connecticut
2015,17.4,Represented by unions,CT, Connecticut
2016,18.4,Represented by unions,CT, Connecticut
