Years,Percent_Represented,Union,STUSPS,State
2000,16.5,Represented by unions,DC, District of Columbia
2001,20.1,Represented by unions,DC, District of Columbia
2002,17.8,Represented by unions,DC, District of Columbia
2003,17.2,Represented by unions,DC, District of Columbia
2004,14.5,Represented by unions,DC, District of Columbia
2005,12.8,Represented by unions,DC, District of Columbia
2006,12.2,Represented by unions,DC, District of Columbia
2007,13.6,Represented by unions,DC, District of Columbia
2008,14.3,Represented by unions,DC, District of Columbia
2009,12.5,Represented by unions,DC, District of Columbia
2010,10.5,Represented by unions,DC, District of Columbia
2011,9.9,Represented by unions,DC, District of Columbia
2012,10.3,Represented by unions,DC, District of Columbia
2013,11,Represented by unions,DC, District of Columbia
2014,10.7,Represented by unions,DC, District of Columbia
2015,12.1,Represented by unions,DC, District of Columbia
2016,10.7,Represented by unions,DC, District of Columbia
