Years,Percent_Represented,Union,STUSPS,State
2000,14.4,Represented by unions,DE, Delaware
2001,13.9,Represented by unions,DE, Delaware
2002,11.8,Represented by unions,DE, Delaware
2003,12.5,Represented by unions,DE, Delaware
2004,13.2,Represented by unions,DE, Delaware
2005,12.9,Represented by unions,DE, Delaware
2006,11.4,Represented by unions,DE, Delaware
2007,12.8,Represented by unions,DE, Delaware
2008,14.7,Represented by unions,DE, Delaware
2009,12.8,Represented by unions,DE, Delaware
2010,12.5,Represented by unions,DE, Delaware
2011,11.2,Represented by unions,DE, Delaware
2012,11.8,Represented by unions,DE, Delaware
2013,11,Represented by unions,DE, Delaware
2014,11.3,Represented by unions,DE, Delaware
2015,10.4,Represented by unions,DE, Delaware
2016,13.3,Represented by unions,DE, Delaware
